year,origin,destination,route,flight_count,passenger_count,cargo_ton,passengers_per_flight,passenger_growth_rate,flight_growth_rate,cargo_growth_rate,is_japan_route
2024,인천(ICN),NASA 셔틀 랜딩 퍼실리티(QQS),인천(ICN)-NASA 셔틀 랜딩 퍼실리티(QQS),1.0,0.0,41.0,0.0,,,,False
2025,인천(ICN),NASA 셔틀 랜딩 퍼실리티(QQS),인천(ICN)-NASA 셔틀 랜딩 퍼실리티(QQS),1.0,0.0,84.0,0.0,,0.0,104.88,False
2021,인천(ICN),간사이(KIX),인천(ICN)-간사이(KIX),1922.0,39039.0,79390.0,20.31,,,,True
2022,인천(ICN),간사이(KIX),인천(ICN)-간사이(KIX),5659.0,667741.0,76592.0,118.0,1610.45,194.43,-3.52,True
2023,인천(ICN),간사이(KIX),인천(ICN)-간사이(KIX),19949.0,3802521.0,92331.0,190.61,469.46,252.52,20.55,True
2024,인천(ICN),간사이(KIX),인천(ICN)-간사이(KIX),22866.0,4452000.0,104160.0,194.7,17.08,14.62,12.81,True
2025,인천(ICN),간사이(KIX),인천(ICN)-간사이(KIX),24848.0,4464603.0,110198.0,179.68,0.28,8.67,5.8,True
2023,인천(ICN),계림(KWL),인천(ICN)-계림(KWL),56.0,6129.0,62.0,109.45,,,,False
2025,인천(ICN),계림(KWL),인천(ICN)-계림(KWL),80.0,11052.0,111.0,138.15,80.32,42.86,79.03,False
2021,인천(ICN),고마스(KMQ),인천(ICN)-고마스(KMQ),0.0,0.0,0.0,0.0,,,,False
2022,인천(ICN),고마스(KMQ),인천(ICN)-고마스(KMQ),0.0,0.0,0.0,0.0,,,,False
2023,인천(ICN),고마스(KMQ),인천(ICN)-고마스(KMQ),8.0,1123.0,68.0,140.38,inf,inf,inf,False
2024,인천(ICN),고마스(KMQ),인천(ICN)-고마스(KMQ),314.0,37407.0,411.0,119.13,3230.99,3825.0,504.41,False
2025,인천(ICN),고마스(KMQ),인천(ICN)-고마스(KMQ),312.0,43033.0,473.0,137.93,15.04,-0.64,15.09,False
2025,인천(ICN),고베(UKB),인천(ICN)-고베(UKB),1031.0,156537.0,1702.0,151.83,,,,True
2021,인천(ICN),과달라하라(GDL),인천(ICN)-과달라하라(GDL),313.0,0.0,10207.0,0.0,,,,False
2022,인천(ICN),과달라하라(GDL),인천(ICN)-과달라하라(GDL),313.0,0.0,10201.0,0.0,,0.0,-0.06,False
2023,인천(ICN),과달라하라(GDL),인천(ICN)-과달라하라(GDL),313.0,0.0,9918.0,0.0,,0.0,-2.77,False
2024,인천(ICN),과달라하라(GDL),인천(ICN)-과달라하라(GDL),313.0,0.0,9453.0,0.0,,0.0,-4.69,False
2025,인천(ICN),과달라하라(GDL),인천(ICN)-과달라하라(GDL),311.0,0.0,10781.0,0.0,,-0.64,14.05,False
2021,인천(ICN),괌(GUM),인천(ICN)-괌(GUM),483.0,22991.0,2106.0,47.6,,,,False
2022,인천(ICN),괌(GUM),인천(ICN)-괌(GUM),2405.0,372277.0,7309.0,154.79,1519.23,397.93,247.06,False
2023,인천(ICN),괌(GUM),인천(ICN)-괌(GUM),4051.0,673712.0,11238.0,166.31,80.97,68.44,53.76,False
2024,인천(ICN),괌(GUM),인천(ICN)-괌(GUM),3736.0,706057.0,11340.0,188.99,4.8,-7.78,0.91,False
2025,인천(ICN),괌(GUM),인천(ICN)-괌(GUM),4411.0,723272.0,11559.0,163.97,2.44,18.07,1.93,False
2021,인천(ICN),광저우(CAN),인천(ICN)-광저우(CAN),1543.0,34161.0,106818.0,22.14,,,,False
2022,인천(ICN),광저우(CAN),인천(ICN)-광저우(CAN),1346.0,40378.0,96225.0,30.0,18.2,-12.77,-9.92,False
2023,인천(ICN),광저우(CAN),인천(ICN)-광저우(CAN),3033.0,335228.0,107845.0,110.53,730.22,125.33,12.08,False
2024,인천(ICN),광저우(CAN),인천(ICN)-광저우(CAN),4647.0,644543.0,117419.0,138.7,92.27,53.21,8.88,False
2025,인천(ICN),광저우(CAN),인천(ICN)-광저우(CAN),5223.0,758485.0,120152.0,145.22,17.68,12.4,2.33,False
2023,인천(ICN),구마모도(KMJ),인천(ICN)-구마모도(KMJ),666.0,93570.0,1400.0,140.5,,,,True
2024,인천(ICN),구마모도(KMJ),인천(ICN)-구마모도(KMJ),854.0,126667.0,1857.0,148.32,35.37,28.23,32.64,True
2025,인천(ICN),구마모도(KMJ),인천(ICN)-구마모도(KMJ),1496.0,210841.0,2896.0,140.94,66.45,75.18,55.95,True
2025,인천(ICN),구이양(KWE),인천(ICN)-구이양(KWE),22.0,1270.0,12.0,57.73,,,,False
2022,인천(ICN),구즈베이(YYR),인천(ICN)-구즈베이(YYR),0.0,0.0,0.0,0.0,,,,False
2022,인천(ICN),그린빌-스파르탄버그(GSP),인천(ICN)-그린빌-스파르탄버그(GSP),28.0,0.0,381.0,0.0,,,,False
2023,인천(ICN),그린빌-스파르탄버그(GSP),인천(ICN)-그린빌-스파르탄버그(GSP),258.0,0.0,3720.0,0.0,,821.43,876.38,False
2024,인천(ICN),그린빌-스파르탄버그(GSP),인천(ICN)-그린빌-스파르탄버그(GSP),114.0,0.0,1830.0,0.0,,-55.81,-50.81,False
2021,인천(ICN),김해(PUS),인천(ICN)-김해(PUS),0.0,0.0,0.0,0.0,,,,False
2022,인천(ICN),김해(PUS),인천(ICN)-김해(PUS),186.0,20751.0,429.0,111.56,inf,inf,inf,False
2023,인천(ICN),김해(PUS),인천(ICN)-김해(PUS),1273.0,157896.0,3109.0,124.03,660.91,584.41,624.71,False
2024,인천(ICN),김해(PUS),인천(ICN)-김해(PUS),1798.0,200770.0,3987.0,111.66,27.15,41.24,28.24,False
2025,인천(ICN),김해(PUS),인천(ICN)-김해(PUS),1889.0,219895.0,4380.0,116.41,9.53,5.06,9.86,False
2021,인천(ICN),껀터(VCA),인천(ICN)-껀터(VCA),6.0,1064.0,20.0,177.33,,,,False
2022,인천(ICN),껀터(VCA),인천(ICN)-껀터(VCA),10.0,1029.0,17.0,102.9,-3.29,66.67,-15.0,False
2023,인천(ICN),껀터(VCA),인천(ICN)-껀터(VCA),368.0,48816.0,955.0,132.65,4644.02,3580.0,5517.65,False
2024,인천(ICN),껀터(VCA),인천(ICN)-껀터(VCA),80.0,11192.0,218.0,139.9,-77.07,-78.26,-77.17,False
2024,인천(ICN),나가사키(NGS),인천(ICN)-나가사키(NGS),83.0,10725.0,127.0,129.22,,,,False
2025,인천(ICN),나가사키(NGS),인천(ICN)-나가사키(NGS),330.0,43946.0,572.0,133.17,309.75,297.59,350.39,False
2021,인천(ICN),나고야(NGO),인천(ICN)-나고야(NGO),582.0,6600.0,34615.0,11.34,,,,True
2022,인천(ICN),나고야(NGO),인천(ICN)-나고야(NGO),821.0,78147.0,32394.0,95.19,1084.05,41.07,-6.42,True
2023,인천(ICN),나고야(NGO),인천(ICN)-나고야(NGO),4432.0,705079.0,27375.0,159.09,802.25,439.83,-15.49,True
2024,인천(ICN),나고야(NGO),인천(ICN)-나고야(NGO),6067.0,1019004.0,35786.0,167.96,44.52,36.89,30.73,True
2025,인천(ICN),나고야(NGO),인천(ICN)-나고야(NGO),6095.0,1078740.0,32817.0,176.99,5.86,0.46,-8.3,True
2023,인천(ICN),나디(NAN),인천(ICN)-나디(NAN),1.0,5.0,0.0,5.0,,,,False
2022,인천(ICN),나보이(NVI),인천(ICN)-나보이(NVI),1.0,0.0,83.0,0.0,,,,False
2022,인천(ICN),나쉬빌(BNA),인천(ICN)-나쉬빌(BNA),8.0,0.0,0.0,0.0,,,,False
2023,인천(ICN),나쉬빌(BNA),인천(ICN)-나쉬빌(BNA),81.0,0.0,701.0,0.0,,912.5,inf,False
2024,인천(ICN),나쉬빌(BNA),인천(ICN)-나쉬빌(BNA),77.0,0.0,738.0,0.0,,-4.94,5.28,False
2025,인천(ICN),나쉬빌(BNA),인천(ICN)-나쉬빌(BNA),37.0,0.0,178.0,0.0,,-51.95,-75.88,False
2023,인천(ICN),나우루(INU),인천(ICN)-나우루(INU),3.0,12.0,0.0,4.0,,,,False
2024,인천(ICN),나우루(INU),인천(ICN)-나우루(INU),1.0,5.0,0.0,5.0,-58.33,-66.67,,False
2022,인천(ICN),나이로비(NBO),인천(ICN)-나이로비(NBO),0.0,0.0,0.0,0.0,,,,False
2023,인천(ICN),나이로비(NBO),인천(ICN)-나이로비(NBO),1.0,0.0,0.0,0.0,,inf,,False
2025,인천(ICN),나이로비(NBO),인천(ICN)-나이로비(NBO),1.0,0.0,0.0,0.0,,0.0,,False
2021,인천(ICN),나트랑캄란(CXR),인천(ICN)-나트랑캄란(CXR),27.0,4177.0,149.0,154.7,,,,False
2022,인천(ICN),나트랑캄란(CXR),인천(ICN)-나트랑캄란(CXR),1297.0,213093.0,2131.0,164.3,5001.58,4703.7,1330.2,False
2023,인천(ICN),나트랑캄란(CXR),인천(ICN)-나트랑캄란(CXR),6777.0,1233395.0,13697.0,182.0,478.81,422.51,542.75,False
2024,인천(ICN),나트랑캄란(CXR),인천(ICN)-나트랑캄란(CXR),9439.0,1752945.0,19520.0,185.71,42.12,39.28,42.51,False
2025,인천(ICN),나트랑캄란(CXR),인천(ICN)-나트랑캄란(CXR),8496.0,1575227.0,18519.0,185.41,-10.14,-9.99,-5.13,False
2021,인천(ICN),난징(NKG),인천(ICN)-난징(NKG),66.0,11901.0,507.0,180.32,,,,False
2022,인천(ICN),난징(NKG),인천(ICN)-난징(NKG),172.0,23122.0,890.0,134.43,94.29,160.61,75.54,False
2023,인천(ICN),난징(NKG),인천(ICN)-난징(NKG),1436.0,168856.0,3893.0,117.59,630.28,734.88,337.42,False
2024,인천(ICN),난징(NKG),인천(ICN)-난징(NKG),2281.0,266831.0,4366.0,116.98,58.02,58.84,12.15,False
2025,인천(ICN),난징(NKG),인천(ICN)-난징(NKG),2610.0,351688.0,6232.0,134.75,31.8,14.42,42.74,False
2024,인천(ICN),난퉁(NTG),인천(ICN)-난퉁(NTG),160.0,0.0,1261.0,0.0,,,,False
2025,인천(ICN),난퉁(NTG),인천(ICN)-난퉁(NTG),228.0,0.0,1781.0,0.0,,42.5,41.24,False
2021,인천(ICN),노보시비르스크(OVB),인천(ICN)-노보시비르스크(OVB),62.0,3325.0,363.0,53.63,,,,False
2022,인천(ICN),노보시비르스크(OVB),인천(ICN)-노보시비르스크(OVB),18.0,924.0,39.0,51.33,-72.21,-70.97,-89.26,False
2024,인천(ICN),누르술탄 나자르바예프(NQZ),인천(ICN)-누르술탄 나자르바예프(NQZ),122.0,14354.0,273.0,117.66,,,,False
2025,인천(ICN),누르술탄 나자르바예프(NQZ),인천(ICN)-누르술탄 나자르바예프(NQZ),250.0,29821.0,540.0,119.28,107.75,104.92,97.8,False
2021,인천(ICN),뉴왁(EWR),인천(ICN)-뉴왁(EWR),42.0,0.0,0.0,0.0,,,,False
2022,인천(ICN),뉴왁(EWR),인천(ICN)-뉴왁(EWR),54.0,0.0,0.0,0.0,,28.57,,False
2023,인천(ICN),뉴왁(EWR),인천(ICN)-뉴왁(EWR),264.0,70689.0,2729.0,267.76,inf,388.89,inf,False
2024,인천(ICN),뉴왁(EWR),인천(ICN)-뉴왁(EWR),451.0,124068.0,4860.0,275.1,75.51,70.83,78.09,False
2025,인천(ICN),뉴왁(EWR),인천(ICN)-뉴왁(EWR),611.0,148439.0,6241.0,242.94,19.64,35.48,28.42,False
2021,인천(ICN),뉴욕 JFK(JFK),인천(ICN)-뉴욕 JFK(JFK),3426.0,133185.0,90360.0,38.87,,,,False
2022,인천(ICN),뉴욕 JFK(JFK),인천(ICN)-뉴욕 JFK(JFK),3334.0,437074.0,83055.0,131.1,228.17,-2.69,-8.08,False
2023,인천(ICN),뉴욕 JFK(JFK),인천(ICN)-뉴욕 JFK(JFK),3592.0,711478.0,73270.0,198.07,62.78,7.74,-11.78,False
2024,인천(ICN),뉴욕 JFK(JFK),인천(ICN)-뉴욕 JFK(JFK),3687.0,786112.0,74276.0,213.21,10.49,2.64,1.37,False
2025,인천(ICN),뉴욕 JFK(JFK),인천(ICN)-뉴욕 JFK(JFK),3647.0,784564.0,73212.0,215.13,-0.2,-1.08,-1.43,False
2023,인천(ICN),니이가타(KIJ),인천(ICN)-니이가타(KIJ),52.0,5762.0,67.0,110.81,,,,False
2024,인천(ICN),니이가타(KIJ),인천(ICN)-니이가타(KIJ),314.0,35756.0,444.0,113.87,520.55,503.85,562.69,False
2025,인천(ICN),니이가타(KIJ),인천(ICN)-니이가타(KIJ),312.0,42194.0,531.0,135.24,18.01,-0.64,19.59,False
2021,인천(ICN),니쯔네바토브스크(NJC),인천(ICN)-니쯔네바토브스크(NJC),0.0,0.0,0.0,0.0,,,,False
2022,인천(ICN),니쯔네바토브스크(NJC),인천(ICN)-니쯔네바토브스크(NJC),0.0,0.0,0.0,0.0,,,,False
2021,인천(ICN),닝보(NGB),인천(ICN)-닝보(NGB),56.0,4308.0,82.0,76.93,,,,False
2022,인천(ICN),닝보(NGB),인천(ICN)-닝보(NGB),2.0,0.0,0.0,0.0,-100.0,-96.43,-100.0,False
2023,인천(ICN),닝보(NGB),인천(ICN)-닝보(NGB),170.0,0.0,2103.0,0.0,,8400.0,inf,False
2024,인천(ICN),닝보(NGB),인천(ICN)-닝보(NGB),560.0,0.0,9061.0,0.0,,229.41,330.86,False
2022,인천(ICN),다가마스(TAK),인천(ICN)-다가마스(TAK),34.0,6063.0,57.0,178.32,,,,False
2023,인천(ICN),다가마스(TAK),인천(ICN)-다가마스(TAK),663.0,116935.0,958.0,176.37,1828.67,1850.0,1580.7,False
2024,인천(ICN),다가마스(TAK),인천(ICN)-다가마스(TAK),1058.0,177988.0,1453.0,168.23,52.21,59.58,51.67,False
2025,인천(ICN),다가마스(TAK),인천(ICN)-다가마스(TAK),1310.0,215017.0,1830.0,164.14,20.8,23.82,25.95,False
2021,인천(ICN),다낭(DAD),인천(ICN)-다낭(DAD),73.0,14531.0,594.0,199.05,,,,False
2022,인천(ICN),다낭(DAD),인천(ICN)-다낭(DAD),3445.0,546521.0,7137.0,158.64,3661.07,4619.18,1101.52,False
2023,인천(ICN),다낭(DAD),인천(ICN)-다낭(DAD),11153.0,1990749.0,26826.0,178.49,264.26,223.74,275.87,False
2024,인천(ICN),다낭(DAD),인천(ICN)-다낭(DAD),11044.0,2102001.0,34069.0,190.33,5.59,-0.98,27.0,False
2025,인천(ICN),다낭(DAD),인천(ICN)-다낭(DAD),10387.0,2054212.0,37407.0,197.77,-2.27,-5.95,9.8,False
2023,인천(ICN),다싱(PKX),인천(ICN)-다싱(PKX),829.0,137571.0,3516.0,165.95,,,,False
2024,인천(ICN),다싱(PKX),인천(ICN)-다싱(PKX),1472.0,230955.0,4899.0,156.9,67.88,77.56,39.33,False
2025,인천(ICN),다싱(PKX),인천(ICN)-다싱(PKX),1998.0,315105.0,6200.0,157.71,36.44,35.73,26.56,False
2021,인천(ICN),다카(DAC),인천(ICN)-다카(DAC),49.0,3264.0,126.0,66.61,,,,False
2022,인천(ICN),다카(DAC),인천(ICN)-다카(DAC),104.0,12617.0,448.0,121.32,286.55,112.24,255.56,False
2023,인천(ICN),다카(DAC),인천(ICN)-다카(DAC),112.0,15035.0,529.0,134.24,19.16,7.69,18.08,False
2024,인천(ICN),다카(DAC),인천(ICN)-다카(DAC),90.0,18972.0,861.0,210.8,26.19,-19.64,62.76,False
2025,인천(ICN),다카(DAC),인천(ICN)-다카(DAC),46.0,8330.0,540.0,181.09,-56.09,-48.89,-37.28,False
2021,인천(ICN),다카르(DKR),인천(ICN)-다카르(DKR),2.0,0.0,36.0,0.0,,,,False
2021,인천(ICN),달라스(DFW),인천(ICN)-달라스(DFW),1905.0,81764.0,54676.0,42.92,,,,False
